Sample_ID,Net_pen,Diet,Gut_segment,LAP_activity
1,109,IM66,PI,325.9
2,109,IM66,PI,375.9
3,109,IM66,PI,317.4
4,109,IM66,PI,360.5
5,109,IM66,PI,357.0
6,109,IM66,PI,423.4
7,110,IM100,PI,308.8
8,110,IM100,PI,236.2
9,110,IM100,PI,364.1
10,110,IM100,PI,541.6
11,110,IM100,PI,353.5
12,110,IM100,PI,277.6
13,111,REF,PI,500.3
14,111,REF,PI,739.9
15,111,REF,PI,464.8
16,111,REF,PI,404.8
17,111,REF,PI,505.0
18,111,REF,PI,581.3
19,112,IM33,PI,550.7
20,112,IM33,PI,284.0
21,112,IM33,PI,713.0
22,112,IM33,PI,529.6
23,112,IM33,PI,698.5
24,112,IM33,PI,244.7
25,101,REF,PI,397.1
26,101,REF,PI,635.0
27,101,REF,PI,378.6
28,101,REF,PI,609.2
29,101,REF,PI,408.7
30,101,REF,PI,356.6
31,102,IM33,PI,424.3
32,102,IM33,PI,467.8
33,102,IM33,PI,46.3
34,102,IM33,PI,511.1
35,102,IM33,PI,322.3
36,102,IM33,PI,346.3
37,103,IM66,PI,320.9
38,103,IM66,PI,362.6
39,103,IM66,PI,419.0
40,103,IM66,PI,397.2
41,103,IM66,PI,496.8
42,103,IM66,PI,457.5
43,104,IM100,PI,321.7
44,104,IM100,PI,343.1
45,104,IM100,PI,277.9
46,104,IM100,PI,261.9
47,104,IM100,PI,332.5
48,104,IM100,PI,194.1
49,105,IM100,PI,332.6
50,105,IM100,PI,288.8
51,105,IM100,PI,719.1
52,105,IM100,PI,435.9
53,105,IM100,PI,561.3
54,105,IM100,PI,603.9
55,106,REF,PI,322.9
56,106,REF,PI,426.9
57,106,REF,PI,427.5
58,106,REF,PI,392.7
59,106,REF,PI,302.7
60,106,REF,PI,424.5
61,107,IM33,PI,199.9
62,107,IM33,PI,241.5
63,107,IM33,PI,287.7
64,107,IM33,PI,452.3
65,107,IM33,PI,518.5
66,107,IM33,PI,484.7
67,108,IM66,PI,375.5
68,108,IM66,PI,445.6
69,108,IM66,PI,424.7
70,108,IM66,PI,358.5
71,108,IM66,PI,423.3
72,108,IM66,PI,400.5
1,109,IM66,MI,197.2
2,109,IM66,MI,147.3
3,109,IM66,MI,255.9
4,109,IM66,MI,185.5
5,109,IM66,MI,235.3
6,109,IM66,MI,207.0
7,110,IM100,MI,183.5
8,110,IM100,MI,132.9
9,110,IM100,MI,293.4
10,110,IM100,MI,133.9
11,110,IM100,MI,188.0
12,110,IM100,MI,172.4
13,111,REF,MI,265.4
14,111,REF,MI,88.8
15,111,REF,MI,241.2
16,111,REF,MI,121.2
17,111,REF,MI,157.3
18,111,REF,MI,223.2
19,112,IM33,MI,214.4
20,112,IM33,MI,156.9
21,112,IM33,MI,266.7
22,112,IM33,MI,154.5
23,112,IM33,MI,179.8
24,112,IM33,MI,140.7
25,101,REF,MI,260.7
26,101,REF,MI,276.1
27,101,REF,MI,230.8
28,101,REF,MI,161.5
29,101,REF,MI,157.3
30,101,REF,MI,164.7
31,102,IM33,MI,285.2
32,102,IM33,MI,188.6
33,102,IM33,MI,149.4
34,102,IM33,MI,109.1
35,102,IM33,MI,176.5
36,102,IM33,MI,237.2
37,103,IM66,MI,194.1
38,103,IM66,MI,217.6
39,103,IM66,MI,255.8
40,103,IM66,MI,194.8
41,103,IM66,MI,181.3
42,103,IM66,MI,224.4
43,104,IM100,MI,222.2
44,104,IM100,MI,199.7
45,104,IM100,MI,246.5
46,104,IM100,MI,163.8
47,104,IM100,MI,162.9
48,104,IM100,MI,94.5
49,105,IM100,MI,134.6
50,105,IM100,MI,127.0
51,105,IM100,MI,150.0
52,105,IM100,MI,139.5
53,105,IM100,MI,149.7
54,105,IM100,MI,251.8
55,106,REF,MI,140.5
56,106,REF,MI,124.3
57,106,REF,MI,193.5
58,106,REF,MI,203.5
59,106,REF,MI,116.4
60,106,REF,MI,103.7
61,107,IM33,MI,153.2
62,107,IM33,MI,206.3
63,107,IM33,MI,193.0
64,107,IM33,MI,210.7
65,107,IM33,MI,159.4
66,107,IM33,MI,175.5
67,108,IM66,MI,216.8
68,108,IM66,MI,272.0
69,108,IM66,MI,205.6
70,108,IM66,MI,155.0
71,108,IM66,MI,180.7
72,108,IM66,MI,168.4
1,109,IM66,DI,319.2
2,109,IM66,DI,400.2
3,109,IM66,DI,241.2
4,109,IM66,DI,550.3
5,109,IM66,DI,453.8
6,109,IM66,DI,354.4
7,110,IM100,DI,431.4
8,110,IM100,DI,182.6
9,110,IM100,DI,312.1
10,110,IM100,DI,153.0
11,110,IM100,DI,595.1
12,110,IM100,DI,268.4
13,111,REF,DI,222.3
14,111,REF,DI,90.1
15,111,REF,DI,360.6
16,111,REF,DI,375.9
17,111,REF,DI,386.0
18,111,REF,DI,428.1
19,112,IM33,DI,390.1
20,112,IM33,DI,158.2
21,112,IM33,DI,335.5
22,112,IM33,DI,247.4
23,112,IM33,DI,198.9
24,112,IM33,DI,259.0
25,101,REF,DI,328.3
26,101,REF,DI,438.8
27,101,REF,DI,145.0
28,101,REF,DI,402.4
29,101,REF,DI,271.7
30,101,REF,DI,232.2
31,102,IM33,DI,335.9
32,102,IM33,DI,102.1
33,102,IM33,DI,337.4
34,102,IM33,DI,254.7
35,102,IM33,DI,315.7
36,102,IM33,DI,169.4
37,103,IM66,DI,563.7
38,103,IM66,DI,595.9
39,103,IM66,DI,378.8
40,103,IM66,DI,209.2
41,103,IM66,DI,500.1
42,103,IM66,DI,354.8
43,104,IM100,DI,121.6
44,104,IM100,DI,520.7
45,104,IM100,DI,519.3
46,104,IM100,DI,495.2
47,104,IM100,DI,167.7
48,104,IM100,DI,304.5
49,105,IM100,DI,484.3
50,105,IM100,DI,76.7
51,105,IM100,DI,231.7
52,105,IM100,DI,151.0
53,105,IM100,DI,415.7
54,105,IM100,DI,613.9
55,106,REF,DI,436.9
56,106,REF,DI,457.6
57,106,REF,DI,674.5
58,106,REF,DI,460.9
59,106,REF,DI,224.2
60,106,REF,DI,693.7
61,107,IM33,DI,503.1
62,107,IM33,DI,432.1
63,107,IM33,DI,364.3
64,107,IM33,DI,726.7
65,107,IM33,DI,199.5
66,107,IM33,DI,630.3
67,108,IM66,DI,631.6
68,108,IM66,DI,143.2
69,108,IM66,DI,597.8
70,108,IM66,DI,385.9
71,108,IM66,DI,114.5
72,108,IM66,DI,392.5
