Sample_ID,Net_pen,Diet,Gut_segment,Organ_weight,Body_weight
7,110,IM,PI,66.471,2953
8,110,IM,PI,79.793,2774
9,110,IM,PI,111.12,3212
10,110,IM,PI,109.66,3712
11,110,IM,PI,79.428,3444
12,110,IM,PI,72.574,3303
43,104,IM,PI,118.73,4187
44,104,IM,PI,82.12,3231
45,104,IM,PI,116.13,4269
46,104,IM,PI,139.85,4746
47,104,IM,PI,77.896,3882
48,104,IM,PI,150.64,4379
49,105,IM,PI,92.96,3226
50,105,IM,PI,114.99,3383
51,105,IM,PI,106.82,4013
52,105,IM,PI,122.04,3911
53,105,IM,PI,136.14,4166
54,105,IM,PI,118.65,4352
7,110,IM,MI,4.894,2953
8,110,IM,MI,4.449,2774
9,110,IM,MI,6.119,3212
10,110,IM,MI,6.049,3712
11,110,IM,MI,5.748,3444
12,110,IM,MI,6.104,3303
43,104,IM,MI,7.579,4187
44,104,IM,MI,6.11,3231
45,104,IM,MI,8.654,4269
46,104,IM,MI,9.308,4746
47,104,IM,MI,6.471,3882
48,104,IM,MI,8.13,4379
49,105,IM,MI,4.688,3226
50,105,IM,MI,6.455,3383
51,105,IM,MI,5.669,4013
52,105,IM,MI,6.919,3911
53,105,IM,MI,7.57,4166
54,105,IM,MI,7.944,4352
7,110,IM,DI,10.427,2953
8,110,IM,DI,7.909,2774
9,110,IM,DI,13.52,3212
10,110,IM,DI,12.116,3712
11,110,IM,DI,11.515,3444
12,110,IM,DI,9.326,3303
43,104,IM,DI,12.985,4187
44,104,IM,DI,9.122,3231
45,104,IM,DI,16.007,4269
46,104,IM,DI,17.512,4746
47,104,IM,DI,10.785,3882
48,104,IM,DI,18.062,4379
49,105,IM,DI,14.566,3226
50,105,IM,DI,11.632,3383
51,105,IM,DI,10.905,4013
52,105,IM,DI,9.365,3911
53,105,IM,DI,14.252,4166
54,105,IM,DI,13.98,4352
13,111,REF,PI,66.442,3298
14,111,REF,PI,115.13,3676
15,111,REF,PI,123.19,3957
16,111,REF,PI,144.71,4144
17,111,REF,PI,130.81,3823
18,111,REF,PI,119.93,3766
25,101,REF,PI,77.93,3499
26,101,REF,PI,126.62,3799
27,101,REF,PI,88.77,3279
28,101,REF,PI,120.72,4189
29,101,REF,PI,74.829,3419
30,101,REF,PI,67.144,2994
55,106,REF,PI,115.26,3370
56,106,REF,PI,131.21,4250
57,106,REF,PI,144.06,4965
58,106,REF,PI,122.95,4355
59,106,REF,PI,90.21,3492
60,106,REF,PI,108.87,3691
13,111,REF,MI,5.428,3298
14,111,REF,MI,9.351,3676
15,111,REF,MI,6.415,3957
16,111,REF,MI,9.581,4144
17,111,REF,MI,5.778,3823
18,111,REF,MI,4.971,3766
25,101,REF,MI,5.374,3499
26,101,REF,MI,7.432,3799
27,101,REF,MI,6.07,3279
28,101,REF,MI,8.33,4189
29,101,REF,MI,4.242,3419
30,101,REF,MI,4.524,2994
55,106,REF,MI,6.832,3370
56,106,REF,MI,13.51,4250
57,106,REF,MI,10.37,4965
58,106,REF,MI,9.837,4355
59,106,REF,MI,5.951,3492
60,106,REF,MI,5.397,3691
13,111,REF,DI,7.252,3298
14,111,REF,DI,7.085,3676
15,111,REF,DI,8.948,3957
16,111,REF,DI,12.015,4144
17,111,REF,DI,14.374,3823
18,111,REF,DI,11.043,3766
25,101,REF,DI,6.938,3499
26,101,REF,DI,9.067,3799
27,101,REF,DI,6.493,3279
28,101,REF,DI,11.348,4189
29,101,REF,DI,5.583,3419
30,101,REF,DI,6.71,2994
55,106,REF,DI,11.26,3370
56,106,REF,DI,16.379,4250
57,106,REF,DI,11.926,4965
58,106,REF,DI,11.911,4355
59,106,REF,DI,12.541,3492
60,106,REF,DI,8.028,3691
